PN ID	GSC-II ID	RA	DEC	l	b	Epoch	dist	PA	Class
He 2-50	S111120278	10:34:19.002	-53:41:03.75	283.401	3.905	1997.107	7.95	310.38	PHOT
He 2-51	S11122324021	10:35:45.821	-64:19:11.74	288.880	-5.215	1997.107	7.57	4.39	PHOT
He 2-55	S111321143815	10:48:43.168	-56:03:10.21	286.358	2.819	1997.123	12.81	182.92	PHOT
He 2-57	S111222178085	10:56:03.303	-61:28:07.35	289.605	-1.619	1997.123	7.21	312.39	PHOT
He 2-62	S1101012483	11:17:43.157	-70:49:32.41	295.328	-9.351	1991.260	2.00	329.28	ST
He 2-63	S11103039959	11:24:01.048	-52:51:19.38	289.821	7.776	1998.378	6.38	251.60	ST
He 2-64	S111313313678	11:27:24.259	-57:17:58.99	291.742	3.735	1997.126	6.62	299.83	PHOT
He 2-67	S111211321895	11:28:47.369	-60:06:37.28	292.804	1.126	1997.126	6.54	44.27	PHOT
He 2-68	S111203118184	11:31:45.427	-65:58:13.67	294.935	-4.344	1998.211	6.77	95.31	PHOT
He 2-7	S1321333250	08:11:31.890	-48:43:16.71	264.166	-8.142	1990.068	2.30	14.99	PHOT
He 2-70	S111211149816	11:35:11.044	-60:16:59.73	293.614	1.202	1997.126	12.80	63.87	PHOT
He 2-71	S1132002699	11:39:11.198	-68:52:09.14	296.469	-6.909	1991.260	1.66	46.41	ST
He 2-72		11:41:37.396	-62:28:54.43	294.967	-0.695	0.000	4.16	126.26	GEO
He 2-73	S111203210871	11:48:38.191	-65:08:37.33	296.393	-3.072	1998.211	4.58	43.33	ST
He 2-76		12:08:25.433	-64:12:09.32	298.274	-1.720	0.000	4.73	125.86	GEO
He 2-78	S21212019222	12:09:10.196	-58:42:37.44	297.456	3.711	1997.170	2.83	56.86	ST
He 2-81	S212102221051	12:23:01.237	-64:01:45.96	299.828	-1.329	1997.090	23.92	157.69	PHOT
He 2-82		12:23:53.557	-60:13:13.60	299.516	2.469	0.000	3.11	268.34	GEO
He 2-83	S21213326847	12:28:43.997	-62:05:35.05	300.280	0.662	1997.090	11.89	91.68	PHOT
